approved	synonyms
SNCA	PARK1,PARK4,NACP,PD1,alpha-synuclein
SNCAIP	SYPH1
SNCB	NA
SNCG	BCSG1,SR,persyn
SND1	TDRD11,p100
SNED1	FLJ00133,SST3,Snep
SNF8	EAP30,VPS22,Dot3
SNIP1	NA
SNN	NA
SNPH	bA314N13.5
SNRK	FLJ20224,HSNFRK,KIAA0096
SNRNP25	C16orf33
SNRNP27	RY1
SNRNP35	U1SNRNPBP
SNRNP40	WDR57,PRP8BP,SPF38,PRPF8BP,HPRP8BP
SNRNP48	C6orf151,FLJ32234,dJ512B11.2,dJ336K20B.1
SNRNP70	RNPU1Z,RPU1,SNRP70,U1-70K,Snp1
SNRNP200	ASCC3L1,RP33,U5-200KD,HELIC2,KIAA0788,BRR2
SNRPA	U1A,U1-A,Mud1
SNRPA1	Lea1
SNRPB	SNRPB1,COD,SmB/SmB',Sm-B/B',snRNP-B
SNRPB2	Msl1
SNRPC	U1-C,Yhc1
SNRPD1	SNRPD,HsT2456,Sm-D1
SNRPD2	SNRPD1,Sm-D2
SNRPD3	SMD3,Sm-D3
SNRPE	Sm-E
SNRPF	Sm-F
SNRPG	Sm-G
SNRPN	PWCR,SMN,SM-D,HCERN3,SNRNP-N,SNURF-SNRPN,RT-LI
SNTA1	SNT1,TACIP1,LQT12
SNTB1	SNT2B1,59-DAP,A1B,BSYN2,TIP-43,SNT2
SNTB2	SNT2B2,SNTL,D16S2531E,EST25263,SNT3
SNTG1	SYN4,G1SYN
SNTG2	SYN5,G2SYN
SNTN	FLJ44379,S100AL
SNUPN	RNUT1,SNURPORTIN-1,Snurportin1
SNURF	NA
SNW1	SKIIP,NCoA-62,SKIP,Prp45,PRPF45,Bx42
SNX1	SNX1A,MGC8664,HsT17379,Vps5
SNX2	NA
SNX3	Grd19
SNX4	ATG24B
SNX5	NA
SNX6	NA
SNX7	NA
SNX8	Mvp1
SNX9	SH3PX1,SDP1,SH3PXD3A
SNX10	NA
SNX11	NA
SNX12	NA
SNX13	RGS-PX1,KIAA0713
SNX14	RGS-PX2
SNX15	NA
SNX16	NA
SNX17	KIAA0064
SNX18	SNAG1,SH3PX2,SH3PXD3B
SNX19	KIAA0254,CHET8
SNX20	SLIC-1,SLIC1
SNX21	C20orf161,dJ337O18.4,SNX-L
SNX22	FLJ13952
SNX24	SBBI31
SNX25	SBBI31
SNX27	MY014,KIAA0488,MGC20471
SNX29	RUNDC2A,FLJ12363
SNX30	ATG24A
SNX31	MGC39715
SNX32	SNX6B,FLJ30934
SNX33	SH3PX3,MGC32065,SH3PXD3C,SNX30
SOAT1	SOAT,STAT,ACAT
SOAT2	ACAT2
SOBP	FLJ10159
SOCS1	SOCS-1,SSI-1,JAB,TIP3,Cish1
SOCS2	STATI2,SSI2,SOCS-2,SSI-2,CIS2,Cish2
SOCS3	SSI-3,CIS3,SOCS-3,Cish3
SOCS4	SOCS7
SOCS5	KIAA0671,SOCS-5,CIS6,CISH6,Cish5
SOCS6	SOCS4,CIS4,SSI4,HSPC060,STATI4,STAI4,Cish4
SOCS7	NAP4,NCKAP4
SOD1	ALS,ALS1,IPOA
SOD2	NA
SOD3	EC-SOD
SOGA1	C20orf117,KIAA0889,dJ132F21.1,FLJ44670,SOGA
SOGA3	C6orf174,dJ403A15.3
SOHLH1	C9orf157,NOHLH,TEB2,bA100C15.3,bHLHe80,SPATA27
SOHLH2	FLJ20449,TEB1,bHLHe81,SPATA28
SON	C21orf50,DBP-5,NREBP,KIAA1019,BASS1,FLJ21099,FLJ33914
SORBS1	SH3D5,FLJ12406,CAP,sh3p12,ponsin,KIAA1296
SORBS2	ARGBP2,KIAA0777
SORBS3	SCAM-1,SH3D4,vinexin
SORCS1	sorCS1
SORCS2	KIAA1329
SORCS3	KIAA1059,SORCS
SORD	NA
SORL1	C11orf32,gp250,LR11,LRP9,SorLA,SorLA-1
SORT1	Gp95,NT3
SOS1	GINGF,HGF,GF1
SOS2	NA
SOST	VBCH
SOSTDC1	DKFZp564D206,USAG1
SOWAHA	ANKRD43
SOWAHB	ANKRD56
SOWAHC	C2orf26,ANKRD57,FLJ21870
SOWAHD	ANKRD58
SOX1	NA
SOX2	NA
SOX3	PHP
SOX4	NA
SOX5	L-SOX5,MGC35153
SOX6	NA
SOX7	NA
SOX8	NA
SOX9	CMD1,CMPD1,SRA1
SOX10	DOM,WS4,WS2E
SOX11	NA
SOX12	SOX22
SOX13	Sox-13,ICA12,MGC117216
SOX14	SOX28
SOX15	SOX20,SOX27,SOX26
SOX17	NA
SOX18	NA
SOX21	SOX25
SOX30	NA
SP1	NA
SP2	KIAA0048
SP3	SPR-2
SP4	SPR-1,HF1B,MGC130008,MGC130009
SP5	NA
SP6	KLF14,Epfn
SP7	osterix,OSX
SP8	NA
SP9	ZNF990
SP100	NA
SP110	IFI41,IFI75
SP140	LYSP100-B,LYSP100-A
SP140L	NA
SPA17	SP17,CT22
SPACA1	SAMP32
SPACA3	ALLP17,SLLP1,LYC3,LYZL3,CT54
SPACA4	SAMP14
SPACA5	SLLP2,LYZL5,LYC5,UNQ6288,dJ54B20.3,PNPK6288
SPACA5B	NA
SPACA7	C13orf28
SPAG1	SP75,FLJ32920,HSD-3.8,TPIS,CT140
SPAG4	SUN4,CT127
SPAG5	DEEPEST,MAP126,hMAP126
SPAG6	Repro-SA-1,pf16,CT141
SPAG7	FSA-1,ACRP,MGC20134
SPAG8	hSMP-1,HSD-1,BS-84,SPAG3,CT142,CILD28
SPAG9	HSS,SYD1,KIAA0516,MGC14967,MGC74461,MGC117291,JLP,PHET,HLC4,PIG6,FLJ13450,FLJ14006,FLJ26141,FLJ34602,CT89
SPAG11A	HE2,EDDM2A
SPAG11B	HE2,EP2,EP2C,EP2D,EDDM2B
SPAG16	PF20,FLJ22724,DKFZp666P1710,WDR29
SPAG17	FLJ34497,PF6,RP4-776P7.2,CT143
SPAM1	HYAL5,PH-20,SPAG15
SPANXA1	SPANX,NAP-X,SPAN-Xa,SPAN-Xb,CT11.1
SPANXA2	SPANX
SPANXB1	CT11.2
SPANXB2	NA
SPANXC	CTp11,CT11.3
SPANXD	SPANXE,CT11.4
SPANXF1	NA
SPANXN1	SPANX-N1,CT11.6
SPANXN2	SPANX-N2,CT11.7
SPANXN3	SPANX-N3,CT11.8
SPANXN4	SPANX-N4,CT11.9
SPANXN5	SPANX-N5,CT11.10
SPARC	ON
SPARCL1	MAST9
SPAST	SPG4,FSP2,ADPSP,KIAA1083
SPATA2	KIAA0757,PD1,tamo,PPP1R145
SPATA2L	C16orf76,MGC26885,tamo
SPATA3	TSARG1
SPATA4	TSARG2,SPEF1B
SPATA5	SPAF,AFG2
SPATA5L1	MGC5347,FLJ12286
SPATA6	SRF1,FLJ10007,SRF-1
SPATA6L	C9orf68,FLJ10058
SPATA7	LCA3,HSD3
SPATA8	MGC44294
SPATA9	NYD-SP16,FLJ35906
SPATA12	NA
SPATA13	FLJ31208,ARHGEF29
SPATA16	NYD-SP12
SPATA17	IQCH
SPATA18	FLJ32906
SPATA19	FLJ25851,spergen1,SPAS1,CT132
SPATA20	FLJ21347,SSP411,Tisp78
SPATA21	spergen-2,spergen2
SPATA22	NYD-SP20
SPATA24	T6441,CCDC161
SPATA25	C20orf165,dJ337O18.8,TSG23
SPATA31A1	C9orf36,FAM75A1,DKFZP434B204,C9orf36A,OTTHUMG00000013156
SPATA31A2	FAM75A2,OTTHUMG00000013563
SPATA31A3	FAM75A3,OTTHUMG00000013164,DKFZp434B204
SPATA31A4	FAM75A4,OTTHUMG00000066731
SPATA31A5	FAM75A5,OTTHUMG00000013204
SPATA31A6	FAM75A6,OTTHUMG00000013224
SPATA31A7	FAM75A7,OTTHUMG00000013196
SPATA31D1	FAM75D1,FLJ46321
SPATA31E1	C9orf79,FAM75E1,FLJ35866
SPATA32	C17orf46,TEX34,FLJ25414,AEP2,VAD1.2
SPATA33	C16orf55,FLJ31606
SPATA45	C1orf227,LOC149643
SPATC1	MGC61633,SPATA15,SPERIOLIN
SPATC1L	C21orf56
SPATS1	SPATA8,FLJ25442,SRSP1
SPATS2	SPATA10,SCR59,FLJ13117
SPATS2L	DNAPTP6
SPC24	SPBC24,FLJ90806
SPC25	SPBC25,MGC22228,AD024
SPCS1	SPC12,HSPC033,YJR010C-A,SPC1
SPCS2	KIAA0102
SPCS3	FLJ22649,SPC22/23,SPC3,YLR066W,PRO3567
SPDEF	PDEF,bA375E1.3
SPDL1	CCDC99,FLJ20364,hSpindly
SPDYA	SPDY1,SPY1,Ringo3
SPDYC	Ringo2
SPDYE1	WBSCR19,Ringo1,SPDYE
SPDYE2	MGC119295
SPDYE2B	NA
SPDYE3	NA
SPDYE4	NA
SPDYE5	NA
SPDYE6	NA
SPDYE16	NA
SPECC1	HCMOGT-1,FLJ36955,NSP,CYTSB
SPECC1L	KIAA0376,CYTSA
SPEF1	C20orf28,DKFZP434I114,SPEF1A
SPEF2	KPL2,FLJ23577,CT122
SPEG	APEG1,MGC12676,KIAA1297,SPEGalpha,SPEGbeta,BPEG
SPEM1	C17orf83,FLJ40081
SPEN	KIAA0929,MINT,SHARP,RBM15C
SPERT	NURIT,CBY2
SPESP1	SP-ESP
SPG7	CMAR,CAR,SPG5C
SPG11	KIAA1840,FLJ21439
SPG20	KIAA0610,TAHCCP1
SPG21	ACP33,GL010,BM-019,MAST
SPHAR	NA
SPHK1	SPHK
SPHK2	NA
SPHKAP	SKIP
SPI1	PU.1,SPI-A,OF,SFPI1,SPI-1
SPIB	SPI-B
SPIC	MGC40611,SPI-C
SPICE1	CCDC52,SPICE
SPIDR	KIAA0146
SPIN1	SPIN
SPIN2A	SPIN2,DXF34
SPIN2B	SPIN-2
SPIN3	NA
SPIN4	FLJ44984
SPINK1	Spink3,PCTT,PSTI,TATI
SPINK2	HUSI-II
SPINK4	PEC-60,MGC133107
SPINK5	VAKTI,LEKTI,LETKI,NETS,NS,FLJ21544,FLJ97536,FLJ97596,FLJ99794,DKFZp686K19184
SPINK6	MGC21394,UNQ844,BUSI2
SPINK7	ECG2,ECRG2
SPINK8	NA
SPINK9	NA
SPINK13	SPINK5L3,LiESP6,HESPINTOR,MGC149260,HBVDNAPTP1
SPINK14	SPINK5L2
SPINT1	HAI,MANSC2
SPINT2	Kop,HAI-2
SPINT3	HKIB9
SPINT4	C20orf137,dJ601O1.1
SPIRE1	spir-1,KIAA1135
SPIRE2	spir-2,KIAA1832
SPN	LSN,CD43,GPL115
SPNS1	HSpin1,nrs,SPINL,PP2030,SPIN1,LAT
SPNS2	NA
SPNS3	MGC29671
SPO11	CT35,SPATA43,TOPVIA
SPOCD1	FLJ25348,PPP1R146
SPOCK1	TIC1,SPOCK,testican-1
SPOCK2	KIAA0275,testican-2
SPOCK3	testican-3
SPON1	KIAA0762,f-spondin
SPON2	DIL1
SPOP	TEF2,BTBD32
SPOPL	BTBD33
SPP1	BNSP,OPN,BSPI,ETA-1
SPP2	SPP24
SPPL2A	IMP3,PSL2
SPPL2B	IMP4,PSL1,KIAA1532
SPPL2C	IMP5
SPPL3	IMP2,PSL4,MGC90402,MGC126674,MGC126676,DKFZP586C1324
SPR	SDR38C1
SPRED1	FLJ33903,PPP1R147
SPRED2	Spred-2,FLJ21897,FLJ31917
SPRED3	NA
SPRN	Shadoo,Sprn,bA108K14.1,FLJ41197
SPRR1A	NA
SPRR1B	SPRR1,GADD33
SPRR2A	NA
SPRR2B	NA
SPRR2D	NA
SPRR2E	NA
SPRR2F	NA
SPRR2G	NA
SPRR3	NA
SPRR4	NA
SPRTN	C1orf124,DKFZP547N043,Spartan,DVC1
SPRY1	hSPRY1
SPRY2	hSPRY2
SPRY3	HSPRY3
SPRY4	NA
SPRYD3	FLJ14800
SPRYD4	DKFZp686N0877
SPRYD7	C13orf1,CLLD6
SPSB1	SSB-1
SPSB2	GRCC9,SSB-2
SPSB3	C16orf31,SSB-3
SPSB4	SSB-4
SPTA1	EL2
SPTAN1	NA
SPTB	NA
SPTBN1	NA
SPTBN2	SCA5
SPTBN4	SPTBN3,KIAA1642
SPTBN5	HUSPECV,BSPECV,HUBSPECV
SPTLC1	HSN1,LCB1,SPTI,HSAN1,hLCB1
SPTLC2	KIAA0526,LCB2,LCB2A,hLCB2a
SPTLC3	C20orf38,SPTLC2L,LCB2B,FLJ11112,hLCB2b
SPTSSA	C14orf147,ssSPTa
SPTSSB	C3orf57,ADMP,ssSPTb
SPTY2D1	FLJ39441,DKFZp686I068
SPX	C12orf39,MGC10946,NPQ,spexin
SPZ1	NYD-TSP1,FLJ25709,PPP1R148
SQLE	NA
SQRDL	CGI-44
SQSTM1	PDB3,OSIL,p62,p60,p62B,A170
SRA1	SRA,STRAA1
SRBD1	FLJ10379
SRC	SRC1,ASV,c-src
SRCAP	KIAA0309,EAF1,SWR1,DOMO1
SRCIN1	SNIP,p140Cap,KIAA1684
SRD5A1	NA
SRD5A2	NA
SRD5A3	FLJ13352,SRD5A2L,SRD5A2L1
SREBF1	SREBP1,bHLHd1,SREBP-1c
SREBF2	SREBP2,bHLHd2
SREK1	SFRS12,DKFZp564B176,SRrp86,SRrp508
SREK1IP1	SFRS12IP1,FLJ36754,P18SRP
SRF	MCM1
SRFBP1	FLJ25286,p49,STRAP,BUD22,Rlb1
SRGAP1	KIAA1304,ARHGAP13
SRGAP2	FNBP2,KIAA0456,ARHGAP34,SRGAP2A
SRGAP2B	SRGAP2P2
SRGAP2C	SRGAP2P1
SRGAP3	SRGAP2,KIAA0411,MEGAP,WRP,ARHGAP14
SRGN	PRG,PRG1,PPG
SRI	NA
SRL	NA
SRM	SRML1,SPS1
SRMS	C20orf148,SRM,dJ697K14.1
SRP9	NA
SRP14	ALURBP,MGC14326
SRP19	NA
SRP54	NA
SRP68	NA
SRP72	NA
SRPK1	SFRSK1
SRPK2	SFRSK2
SRPK3	STK23,MSSK1
SRPR	SRP-alpha,Sralpha
SRPRB	APMCF1
SRPX	ETX1
SRPX2	SRPUL
SRR	ILV1,ISO1
SRRD	HC/HCC,SRR1L
SRRM1	SRM160,POP101,MGC39488
SRRM2	SRm300,SRL300,KIAA0324,Cwc21
SRRM3	FLJ37078
SRRM4	KIAA1853,nSR100
SRRM5	NA
SRRT	Asr2,serrate,ARS2
SRSF1	SFRS1,ASF,SF2,SRp30a,SF2p33,MGC5228
SRSF2	SFRS2,SC-35,SC35,PR264,SFRS2A
SRSF3	SFRS3,SRp20
SRSF4	SFRS4,SRP75
SRSF5	SFRS5,SRP40,HRS
SRSF6	SFRS6,SRP55,B52
SRSF7	SFRS7,9G8,ZCRB2,HSSG1,AAG3,RBM37,ZCCHC20
SRSF8	SFRS2B,SRP46
SRSF9	SFRS9,SRp30c
SRSF10	FUSIP2,FUSIP1,SFRS13A,TASR1,TASR2,SRp38,SRrp40,SFRS13,PPP1R149
SRSF11	SFRS11,p54,NET2
SRSF12	SFRS13B,SRrp35,SFRS19
SRXN1	C20orf139,Npn3,SRX1,YKL086W,dJ850E9.2
SRY	TDF
SS18	SSXT,SYT
SS18L1	KIAA0693
SS18L2	KIAA-iso
SSB	LARP3,La,La/SSB
SSBP1	SSBP,mtSSB
SSBP2	HSPC116
SSBP3	CSDP,SSDP,FLJ10355,SSDP1
SSBP4	NA
SSC4D	SRCRB4D,SRCRB-S4D,S4D-SRCRB
SSC5D	FLJ35258
SSFA2	CS-1,SPAG13,KRAP,KIAA1927
SSH1	KIAA1298
SSH2	KIAA1725
SSH3	FLJ20515,FLJ10928
SSMEM1	C7orf45,FLJ40316
SSNA1	NA14,N14
SSPN	KRAG,SPN1,SPN2
SSPO	SCO-spondin,KIAA0543,FLJ36112
SSR1	TRAPA
SSR2	TLAP,TRAPB
SSR3	TRAPG
SSR4	TRAPD
SSRP1	FACT80
SSSCA1	p27
SST	SMST
SSTR1	NA
SSTR2	NA
SSTR3	NA
SSTR4	NA
SSTR5	NA
SSU72	HSPC182
SSUH2	C3orf32,fls485,ssu-2
SSX1	CT5.1
SSX2	SSX,HOM-MEL-40,HD21,MGC3884,MGC15364,MGC119055,CT5.2a
SSX2B	CT5.2b
SSX2IP	NA
SSX3	CT5.3
SSX4	CT5.4
SSX4B	OTTHUMT00000056510
SSX5	NA
SSX7	NA
SSX8	NA
ST3GAL1	SIAT4A,ST3O,SIATFL,ST3GalA.1
ST3GAL2	SIAT4B,ST3GALII,ST3GalA.2
ST3GAL3	SIAT6,MRT12
ST3GAL4	CGS23,SIAT4,NANTA3,SIAT4C,STZ,SAT3,FLJ11867
ST3GAL5	SIAT9,ST3GalV,SIATGM3S
ST3GAL6	SIAT10,ST3GALVI
ST5	HTS1,DENND2B,p126
ST6GAL1	SIAT1
ST6GAL2	SIAT2,KIAA1877,St6gal2,St6GalII
ST6GALNAC1	SIAT7A,ST6GalNAcI
ST6GALNAC2	SIAT7,SIAT7B,SIATL1,ST6GalNAII,STHM
ST6GALNAC3	SIAT7C
ST6GALNAC4	SIAT7D,ST6GALNACIV,SIAT3C
ST6GALNAC5	SIAT7E,MGC3184,ST6GalNAcV
ST6GALNAC6	SIAT7F,ST6GALNACVI
ST7	FAM4A1,TSG7,SEN4,ETS7q,HELG,RAY1,FAM4A
ST7L	FLJ20284,STLR,ST7R,FAM4B
ST8SIA1	SIAT8,SIAT8A
ST8SIA2	SIAT8B,STX,ST8SIA-II,HsT19690
ST8SIA3	SIAT8C
ST8SIA4	SIAT8D,PST,PST1
ST8SIA5	SIAT8E
ST8SIA6	SIAT8F
ST13	SNC6,HSPABP1,HIP,P48,FAM10A1
ST14	PRSS14,SNC19,HAI,MT-SP1,TMPRSS14
ST18	ZNF387,KIAA0535,ZC2HC10,NZF3
ST20	HCCS-1
STAB1	KIAA0246,STAB-1,FEEL-1,CLEVER-1,FELE-1,FEX1
STAB2	DKFZP434E0321,FELL,STAB-2,HARE,FEEL-2
STAC	STAC1
STAC2	24b2
STAC3	MGC2793
STAG1	SA-1,SCC3A
STAG2	SA-2,SCC3B
STAG3	NA
STAM	STAM1
STAM2	Hbp
STAMBP	AMSH
STAMBPL1	AMSH-LP,KIAA1373,AMSH-FP,FLJ31524,ALMalpha,bA399O19.2
STAP1	STAP-1,BRDG1
STAP2	STAP-2,BKS
STAR	StAR,STARD1
STARD3	es64,MLN64
STARD3NL	MENTHO,MGC3251
STARD4	NA
STARD5	MGC10327
STARD6	NA
STARD7	GTT1
STARD8	KIAA0189,ARHGAP38
STARD9	KIAA1300
STARD10	SDCCAG28,NY-CO-28,CGI-52,PCTP2
STARD13	LINC00464,GT650,DLC2,ARHGAP37
STAT1	STAT91,ISGF-3
STAT2	STAT113
STAT3	APRF
STAT4	NA
STAT5A	STAT5,MGF
STAT5B	NA
STAT6	D12S1644,IL-4-STAT
STATH	STR
STAU1	STAU,PPP1R150
STAU2	39K2
STBD1	FLJ41801,GENX-3414
STC1	STC
STC2	STC-2
STEAP1	STEAP,PRSS24
STEAP1B	NA
STEAP2	PCANAP1,IPCA-1,STAMP1,STMP
STEAP3	TSAP6,dudlin-2,STMP3
STEAP4	TNFAIP9,FLJ23153,TIARP,STAMP2
STH	MAPTIT
STIL	SIL,MCPH7
STIM1	GOK,D11S4896E
STIM2	NA
STIP1	HOP,STI1
STK3	MST2,KRS1
STK4	MST1,KRS2,YSK3
STK10	LOK,PRO2729
STK11	PJS,LKB1
STK11IP	LIP1,KIAA1898,LKB1IP,STK11IP1
STK16	PKL12,MPSK
STK17A	DRAK1
STK17B	DRAK2
STK19	D6S60,G11,RP1
STK24	MST-3,MST3,MST3B,STK3,STE20
STK25	SOK1,YSK1
STK26	MST4,MASK
STK31	TDRD8,SgK396
STK32A	MGC22688,YANK1
STK32B	STKG6,YANK2,STK32,HSA250839
STK32C	PKE,MGC23665,YANK3
STK33	NA
STK35	bA550O8.2,CLIK1
STK36	KIAA1278,FU
STK38	NDR
STK38L	KIAA0965,NDR2
STK39	DCHT,SPAK
STK40	MGC4796,SgK495
STKLD1	C9orf96,MGC43306,SGK071
STMN1	LAP18,C1orf215,SMN,OP18,PR22,PP19,PP17,Lag,FLJ32206
STMN2	SCGN10,SCG10
STMN3	SCLIP
STMN4	RB3
STMND1	FLJ23152
STOM	EPB7,EPB72,BND7
STOML1	hUNC-24,SLP-1,STORP,FLJ36370
STOML2	SLP-2,HSPC108
STOML3	SRO,Epb7.2l
STON1	SBLF,stoned-b1
STON2	STNB2,STN2
STOX1	C10orf24,FLJ25162
STOX2	DKFZp762K222
STPG1	C1orf201,FLJ33340,MAPO2
STPG2	C4orf37,MGC46496
STRA6	FLJ12541
STRA8	NA
STRA13	MGC14480,MHF2,FAAP10
STRADA	NY-BR-96,LYK5,Stlk,STRAD
STRADB	ALS2CR2,CALS-21,PAPK,ILPIPA,ILPIP
STRAP	UNRIP,pt-wd,MAWD
STRBP	ILF3L,FLJ11307,SPNR
STRC	DFNB16
STRIP1	FAM40A,FLJ14743,KIAA1761,FAR11A
STRIP2	FAM40B,KIAA1170,FAR11B
STRN	SG2NA
STRN3	SG2NA
STRN4	zinedin,ZIN
STS	ARSC1,ARSC
STT3A	ITM1,TMC,MGC9042,STT3-A
STT3B	SIMP,FLJ90106,STT3-B
STUB1	UBOX1,CHIP,SDCCAG7,HSPABP2,NY-CO-7
STX1A	STX1,HPC-1,p35-1
STX1B	STX1B1,STX1B2
STX2	STX2B,STX2C,STX2A,EPIM,EPM
STX3	STX3A
STX4	STX4A,p35-2
STX5	STX5A,SED5
STX6	NA
STX7	NA
STX8	CARB
STX10	hsyn10,SYN10
STX11	NA
STX12	STX13,STX14
STX16	hsyn16,SYN16
STX17	FLJ20651
STX18	Ufe1
STX19	MGC21382
STXBP1	hUNC18,MUNC18-1,UNC18,rbSec1
STXBP2	UNC18B,Hunc18b
STXBP3	UNC-18C
STXBP4	Synip,MGC50337
STXBP5	tomosyn,LLGL3
STXBP5L	KIAA1006,LLGL4
STXBP6	amisyn,HSPC156
STYK1	SuRTK106,DKFZp761P1010,NOK
STYX	NA
STYXL1	DUSP24,MK-STYX
SUB1	PC4,p15,p14
SUCLA2	NA
SUCLG1	NA
SUCLG2	NA
SUCNR1	GPR91
SUCO	C1orf9,CH1,SLP1,OPT
SUDS3	SDS3,FLJ00052,SAP45
SUFU	SUFUH,SUFUXL,PRO1280
SUGCT	C7orf10,FLJ11808,ORF19,DERP13
SUGP1	SF4,F23858,DKFZp434E2216,RBP
SUGP2	SFRS14,KIAA0365
SUGT1	SGT1
SULF1	KIAA1077,SULF-1
SULF2	KIAA1247,HSULF-2,SULF-2
SULT1A1	STP,STP1,P-PST
SULT1A2	STP2,HAST4
SULT1A3	STM,TL-PST
SULT1A4	NA
SULT1B1	ST1B2
SULT1C2	SULT1C1,ST1C1
SULT1C3	NA
SULT1C4	SULT1C2,SULT1C
SULT1E1	STE,EST
SULT2A1	STD,DHEA-ST
SULT2B1	HSST2
SULT4A1	SULTX3,hBR-STL-1
SULT6B1	NA
SUMF1	FGE,UNQ3037
SUMF2	DKFZp566I1024
SUMO1	UBL1,PIC1,GMP1,SMT3C,SUMO-1,SMT3H3,OFC10
SUMO2	SMT3H2,SMT3B
SUMO3	SMT3H1,SMT3A
SUMO4	SMT3H4,IDDM5,dJ281H8.4
SUN1	UNC84A,KIAA0810,FLJ12407
SUN2	UNC84B
SUN3	SUNC1,MGC33329
SUN5	SPAG4L,dJ726C3.1,TSARG4
SUOX	NA
SUPT3H	SPT3,SPT3L
SUPT4H1	SUPT4H,SPT4H
SUPT5H	SPT5H,SPT5,FLJ34157
SUPT6H	KIAA0162,SPT6H
SUPT7L	STAF65,gamma,KIAA0764,SPT7L
SUPT16H	FACT,FACTP140,SPT16/CDC68,FLJ14010,FLJ10857,CDC68
SUPT20H	C13orf19,FAM48A,SPT20,bA421P11.4,P38IP
SUPT20HL1	FAM48B1
SUPV3L1	SUV3
SURF1	NA
SURF2	NA
SURF4	ERV29,FLJ22993,MGC102753
SURF6	FLJ30322,RRP14
SUSD1	DKFZP761E1824
SUSD2	BK65A6.2,FLJ22778
SUSD3	MGC26847
SUSD4	FLJ10052
SUSD5	KIAA0527
SUSD6	KIAA0247
SUV39H1	SUV39H,KMT1A
SUV39H2	FLJ23414,KMT1B
SUV420H1	CGI-85,KMT5B
SUV420H2	MGC2705,KMT5C
SUZ12	JJAZ1,KIAA0160,CHET9
SV2A	SV2,KIAA0736
SV2B	KIAA0735,HsT19680
SV2C	NA
SVEP1	C9orf13,bA427L11.3,POLYDOM,FLJ13529
SVIL	NA
SVIP	DKFZp313A2432
SVOP	DKFZp761H039
SVOPL	MGC46715
SWAP70	KIAA0640,SWAP-70
SWI5	C9orf119,bA395P17.9
SWSAP1	C19orf39,FLJ35119,ZSWIM7AP1,SWS1AP1
SWT1	C1orf26,FLJ20121,HsSwt1
SYAP1	FLJ14495,PRO3113
SYBU	FLJ20366,GOLSYN,KIAA1472,OCSYN,SNPHL
SYCE1	C10orf94,bA108K14.6,CT76
SYCE1L	MRP2
SYCE2	CESC1
SYCE3	C22orf41
SYCN	INSSA1,SYL,FLJ27441
SYCP1	HOM-TES-14,SCP1,CT8
SYCP2	SCP2
SYCP2L	C6orf177,dJ62D2.1,NO145
SYCP3	NA
SYDE1	7h3,FLJ13511
SYDE2	FLJ13815
SYF2	CBPIN,p29,DKFZp564O2082,NTC31,fSAP29
SYK	NA
SYMPK	SYM,SPK
SYN1	NA
SYN2	SYNII,SYNIIa,SYNIIb
SYN3	NA
SYNC	SYNC1,SYNCOILIN
SYNCRIP	NSAP1,GRY-RBP,dJ3J17.2,HNRPQ1,hnRNP-Q,HNRNPQ
SYNDIG1	C20orf39,TMEM90B,FLJ14220,IFITMD5,SynDIG1
SYNDIG1L	TMEM90A,capucin,IFITMD4
SYNE1	C6orf98,SYNE-1B,KIAA0796,8B,Nesprin-1,enaptin,MYNE1,CPG2,dJ45H2.2,SCAR8,ARCA1,Nesp1
SYNE2	SYNE-2,DKFZP434H2235,Nesprin-2,NUANCE,NUA,KIAA1011,Nesp2
SYNE3	C14orf49,FLJ25605,NET53,Nesprin-3,Nesp3
SYNE4	C19orf46,DFNB76,FLJ36445,Nesprin-4,Nesp4
SYNGAP1	SYNGAP,RASA5,KIAA1938
SYNGR1	NA
SYNGR2	NA
SYNGR3	NA
SYNGR4	NA
SYNJ1	INPP5G
SYNJ2	INPP5H
SYNJ2BP	Arip2
SYNM	DMN,KIAA0353,SYN
SYNPO	KIAA1029
SYNPO2	MYOPODIN
SYNPO2L	FLJ12921
SYNPR	MGC26651,SPO
SYNRG	AP1GBP1,SYNG,MGC104959
SYP	MRX96
SYPL1	SYPL
SYPL2	Mg29
SYS1	C20orf169,dJ453C12.4
SYT1	SYT,SVP65,P65
SYT2	NA
SYT3	NA
SYT4	KIAA1342,HsT1192
SYT5	NA
SYT6	NA
SYT7	PCANAP7,IPCA-7,SYT-VII,MGC150517
SYT8	DKFZp434K0322
SYT9	NA
SYT10	NA
SYT11	KIAA0080,MGC10881,MGC17226,DKFZp781D015
SYT12	SRG1
SYT13	KIAA1427
SYT14	sytXIV,FLJ34198
SYT15	CHR10SYT
SYT16	SYT14L,yt14r,CHR14SYT,Strep14
SYT17	NA
SYTL1	SLP1,JFC1,FLJ14996,exophilin-7
SYTL2	FLJ20163,FLJ21219,KIAA1597,exophilin-4,CHR11SYT,SLP2,SGA72M,MGC102768,PPP1R151
SYTL3	SLP3,exophilin-6
SYTL4	NA
SYTL5	NA
SYVN1	HRD1,DER3
SZRD1	C1orf144,DKFZp566C0424
SZT2	C1orf84,KIAA0467,FLJ10387,SZT2B,RP11-506B15.1,FLJ34502,SZT2A
T	NA
TAAR1	TRAR1,TAR1,TA1
TAAR2	GPR58
TAAR3	GPR57
TAAR5	PNR
TAAR6	TRAR4,TA4
TAAR8	GPR102,TRAR5,TA5,TAR5
