approved	synonyms
ACSL1	FACL2,LACS2,LACS,ACS1,LACS1,FACL1
ACSL3	FACL3,ACS3,PRO2194
ACSL4	FACL4,MRX63,MRX68,ACS4,LACS4
ACSL5	FACL5,ACS5,ACS2
ACSL6	FACL6,KIAA0837,ACS2,LACS5,LACS2
ACSM1	BUCS1,MACS1
ACSM2A	ACSM2,A-923A4.1,MGC150530
ACSM2B	ACSM2,HXMA,HYST1046
ACSM3	SAH,SA
ACSM4	NA
ACSM5	FLJ20581
ACSM6	C10orf129,bA310E22.3
ACSS1	ACAS2L,dJ568C11.3,AceCS2L,MGC33843
ACSS2	ACAS2,ACS,ACSA,AceCS,dJ1161H23.1
ACSS3	FLJ21963
ACTA1	ACTA,NEM3
ACTA2	ACTSA
ACTB	NA
ACTBL2	DKFZp686D0972
ACTC1	ACTC,CMD1R
ACTG1	ACTG,DFNA20,DFNA26
ACTG2	ACTL3,ACTA3,ACTSG
ACTL6A	Actl6,BAF53A,Arp4,Baf53a,INO80K
ACTL6B	ACTL6,BAF53B
ACTL7A	NA
ACTL7B	Tact1
ACTL8	CT57
ACTL9	MGC33407
ACTL10	C20orf134
ACTN1	NA
ACTN2	NA
ACTN3	NA
ACTN4	FSGS1
ACTR1A	ARP1
ACTR1B	CTRN2
ACTR2	ARP2
ACTR3	ARP3
ACTR3B	ARP11,ARP3beta
ACTR3C	ARP11
ACTR5	FLJ12785,Arp5,INO80M
ACTR6	ARP6,FLJ13433
ACTR8	INO80N
ACTR10	HARP11,ACTR11,Arp11
ACTRT1	AIP1,KIAA0705,ARIP1,Arp-T1
ACTRT2	Arp-T2,ARPM2,FLJ25424
ACTRT3	ARPM1
ACVR1	ACVRLK2,SKR1,ALK2,ACVR1A
ACVR1B	ACVRLK4,ALK4,SKR2,ActRIB
ACVR1C	ALK7,ACVRLK7
ACVR2A	ACVR2,ACTRII
ACVR2B	ActR-IIB
ACVRL1	ACVRLK1,ORW2,HHT2,ALK1,HHT
ACY1	NA
ACY3	HCBP1,MGC9740,ACY-3
ACYP1	NA
ACYP2	NA
ADA	NA
ADAD1	Tenr
ADAD2	TENRL,FLJ00337
ADAL	NA
ADAM2	FTNB,PH-30b,PH30,CT15
ADAM7	GP-83,EAPI
ADAM8	CD156,MS2,CD156a
ADAM9	CORD9,MDC9,KIAA0021,MCMP,Mltng
ADAM10	kuz,MADM,HsT18717,CD156c
ADAM11	MDC
ADAM12	MCMPMltna,MLTN
ADAM15	MDC15
ADAM17	TACE,cSVP,CD156B
ADAM18	tMDCIII,ADAM27
ADAM19	MLTNB
ADAM20	NA
ADAM21	ADAM31
ADAM22	MDC2
ADAM23	MDC3
ADAM28	eMDCII,MDC-Lm,MDC-Ls,ADAM23
ADAM29	svph1,CT73
ADAM30	svph4
ADAM32	NA
ADAM33	C20orf153,DKFZp434K0521,dJ964F7.1
ADAMDEC1	M12.219
ADAMTS1	C3-C5,METH1,KIAA1346
ADAMTS2	ADAMTS-3,hPCPNI,PCINP,ADAM-TS2,NPI
ADAMTS3	KIAA0366,ADAMTS-4
ADAMTS4	KIAA0688,ADAMTS-2,ADMP-1
ADAMTS5	ADMP-2,ADAMTS11
ADAMTS6	ADAM-TS6
ADAMTS7	ADAM-TS7,DKFZp434H204
ADAMTS8	METH2,FLJ41712,ADAM-TS8
ADAMTS9	KIAA1312
ADAMTS10	ADAM-TS10
ADAMTS12	NA
ADAMTS13	C9orf8,VWFCP,TTP,vWF-CP,FLJ42993,MGC118899,MGC118900,DKFZp434C2322
ADAMTS14	NA
ADAMTS15	NA
ADAMTS16	ADAMTS16s
ADAMTS17	FLJ32769,FLJ16363
ADAMTS18	ADAMTS21
ADAMTS19	NA
ADAMTS20	GON-1
ADAMTSL1	C9orf94,ADAMTSR1,FLJ35283
ADAMTSL2	KIAA0605
ADAMTSL3	KIAA1233,punctin-2
ADAMTSL4	TSRC1,DKFZP434K1772
ADAMTSL5	THSD6
ADAP1	CENTA1,GCS1L
ADAP2	CENTA2
ADAR	IFI4,G1P1,ADAR1
ADARB1	ADAR2,DRADA2,ADAR2g,DRABA2,RED1,hRED1,ADAR2a-L1,ADAR2a-L2,ADAR2a-L3,ADAR2a,ADAR2b,ADAR2c,ADAR2d
ADARB2	RED2,hRED2,ADAR3
ADAT1	NA
ADAT2	DEADC1,dJ20N2.1,TAD2
ADAT3	TAD3
ADCK1	FLJ39600
ADCK2	MGC20727
ADCK3	CABC1,COQ8,SCAR9
ADCK4	FLJ12229,COQ8
ADCK5	FLJ35454
ADCY1	AC1
ADCY2	HBAC2,KIAA1060,AC2
ADCY3	AC3
ADCY4	AC4
ADCY5	AC5
ADCY6	AC6
ADCY7	KIAA0037,AC7
ADCY8	ADCY3,HBAC1,AC8
ADCY9	AC9
ADCY10	SAC,Sacy,SACI,HCA2,RP1-313L4.2
ADCYAP1	PACAP
ADCYAP1R1	PAC1,PACAPR,PAC1R
ADD1	NA
ADD2	ADDB
ADD3	ADDL
ADGB	C6orf103,FLJ23121,dJ408K24.1
ADH1A	ADH1
ADH1B	ADH2
ADH1C	ADH3
ADH4	ADH-2
