RERE
DGKZ
ATG2A
PPP2R5B
DAGLA
NRXN2
SYT7
RTN3
PCNXL3
SPTBN2
ADRBK1
TMEM151A
ARHGEF17
PITPNM1
PACS1
PGM2L1
SHANK2
PDE2A
DLG2
FAT3
ARRB1
GRM5
GRAMD1B
NRGN
ARHGAP20
PHLDB1
ARHGEF12
DSCAML1
C2CD2L
BCL9L
SORL1
B3GAT1
IGSF9B
ARHGAP32
WNK1
GPR162
IQSEC3
ATN1
USP5
CHD4
ARID2
GRIN2B
KIF21A
ATF7IP
PFKM
SCN8A
CACNB3
DDN
MAP3K12
KCNH3
SLC4A8
DIP2B
ARF3
MON2
CAND1
SMARCC2
R3HDM2
AGAP2
ANKRD52
LRP1
KIF5A
BAZ2A
ATP5B
UHRF1BP1L
NAV3
CDK17
SYT1
DTX1
CUX2
GCN1L1
RPH3A
PTPN11
ATP2A2
PITPNM2
CIT
MED13L
CAMKK2
UBE3B
EP400
RIMBP2
ULK1
NCOR2
FRY
PCDH9
PDS5B
NBEA
TSC22D1
DCLK1
MYCBP2
IRS2
IPO5
SLITRK5
DOCK9
MYO16
ARHGEF7
SLC22A17
JPH4
CHD8
SALL2
ZFHX2
IPO4
NDRG2
AKAP6
SPTB
TRIM9
RALGAPA1
RTN1
SEC23A
FAM179B
TTC7B
IRF2BPL
NRXN3
PCNX
SIPA1L1
CALM1
ZFYVE1
DICER1
DYNC1H1
DDX24
CKB
CDC42BPB
PACS2
KLC1
ATG2B
TTBK2
SPRED1
HERC2
MAPKBP1
PAK6
DISP2
RASGRP1
MAP1A
SLC12A6
UNC13C
NEDD4
HERC1
TLN2
DMXL2
MYO5A
TMOD2
DPP8
SECISBP2L
RASGRF1
LINGO1
ARNT2
TLE3
SV2B
NTRK3
MAN2A2
PKD1
ABCA3
SRRM2
PIGQ
MAPK8IP3
FBXL16
CREBBP
TSC2
CASKIN1
MKL2
CLEC16A
KIAA0430
NOMO1
GRIN2A
PRKCB
SMG1
SEZ6L2
XPO6
FBXL19
ALDOA
TAOK2
GTF3C1
MAZ
ATP6V0D1
NDRG4
FAM65A
GNAO1
SMPD3
TUBB3
ANKRD11
TCF25
JPH3
MTSS1L
ZCCHC14
ATMIN
NEURL4
MINK1
SGSM2
CAMTA2
DLG4
POLR2A
NLGN2
ABR
RAP1GAP2
PRPF8
KDM6B
GAS7
NCOR1
ULK2
LLGL1
VAMP2
USP22
ARHGAP44
PER1
CHD3
MYH10
MPRIP
GIT1
PHF12
ASIC2
TAOK1
CACNB1
MYO18A
ARHGAP23
AP2B1
ALDOC
SRCIN1
CDK5R1
SUPT6H
NF1
KIAA0100
ACLY
ATP6V0A1
CNP
RAPGEFL1
THRA
HDAC5
CLTC
NSF
CACNA1G
SPAG9
MTMR4
TRIM37
PPM1E
BZRAP1
PPP1R9B
USP32
TANC2
MED13
BPTF
SEC14L1
RPTOR
AATK
FASN
MGAT5B
FOXK2
UBE2O
GNAL
SPIRE1
ZNF521
DTNA
LPIN2
SOGA2
ATP5A1
DLGAP1
MIB1
TCF4
MAPK4
TSHZ1
MBP
MED16
PIP5K1C
NFIC
TUBB4A
KDM4B
PTPRS
HCN2
DOT1L
APC2
CELF5
EEF2
C19orf26
SLC25A23
AP3D1
SMARCA4
TNPO2
NCAN
NWD1
NFIX
UNC13A
CRTC1
BRD4
FCHO1
MAST1
FKBP8
CACNA1A
LPHN1
ARHGAP33
ZNF536
CLIP3
APLP1
LRP3
SIPA1L3
ATP1A3
HNRNPUL1
GRIK5
CIC
SAMD4B
PLD3
LMTK3
EML2
PPFIA3
PPP1R37
SYMPK
APOE
CALM3
STRN4
SLC8A2
DMWD
ARHGAP35
ZC3H4
SLC17A7
PRR12
LRRC4B
AP2A1
SHANK1
CPT1C
KCNC3
PPP2R1A
SCAF1
PPP6R1
TTYH1
EPN1
BRSK1
PEG3
PRKCG
PLCB1
SNAP25
DZANK1
SNPH
SLC12A5
DLGAP4
TRPC4AP
CHD6
NCOA6
PHF20
SOGA1
RALGAPB
ZHX3
ELMO2
PTPRT
EPB41L1
MMP24
KCNB1
ZNFX1
DIDO1
ADNP
ATP9A
KCNQ2
GNAS
PREX1
EEF1A2
NRIP1
TTC3
AGPAT3
DSCAM
SON
DOPEY2
ABCG1
TRAPPC10
APP
TIAM1
SYNJ1
ITSN1
ADARB1
DIP2A
MAPK1
SEPT5
RTN4R
CABIN1
GNAZ
KLHL22
BCR
ARVCF
AP1B1
DGCR2
PI4KA
ZC3H7B
EP300
TEF
ACO2
SREBF2
LARGE
CBX6
CACNA1I
ELFN2
TCF20
SYNGR1
SEPT3
TNRC6B
SHANK3
SBF1
PPP6R2
CDKL5
FRMPD4
MED14
USP9X
CDK16
UBA1
TSPAN7
SYN1
IQSEC2
WDR13
NLGN3
UBQLN2
KDM5C
TRO
HUWE1
MAGED1
PLP1
IDS
HCFC1
KIAA1549L
CCAR2
AGO1
AGO2
DMTN
CCSER2
BRINP2
EMC1
CEP170B
AREL1
CLUH
ZSWIM8
KMT2A
KMT2D
KMT2C
KMT2E
NSMF
TENM2
TENM3
TENM4
LZTS3
ZNF106
ZBTB18
